    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_batch_size param_epochs param_optimizer                                                    params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
25    1504.925315      1.805245        12.376006        0.355061               32           10            adam     {'batch_size': 32, 'epochs': 10, 'optimizer': 'adam'}             0.9885             0.9845             0.9830             0.9775             0.9860           0.9839        0.003680               33            0.999375            0.996125            0.994375            0.986625            0.996625          0.994625         0.004310
13    1553.654915     21.289173        13.056630        0.539218               16           10            adam     {'batch_size': 16, 'epochs': 10, 'optimizer': 'adam'}             0.9880             0.9755             0.9665             0.9940             0.9775           0.9803        0.009678               34            0.997125            0.988500            0.978375            0.997500            0.992625          0.990825         0.007041
45    5457.019836    298.522344        10.805482        1.660096               64           40            adam     {'batch_size': 64, 'epochs': 40, 'optimizer': 'adam'}             0.9725             0.9540             0.9880             0.9915             0.9920           0.9796        0.014640               35            0.990500            0.955375            0.999875            0.999250            1.000000          0.989000         0.017188
37    1434.516318      8.153531        11.171251        0.652011               64           10            adam     {'batch_size': 64, 'epochs': 10, 'optimizer': 'adam'}             0.9840             0.9875             0.9590             0.9845             0.9825           0.9795        0.010378               36            0.998500            0.998500            0.979000            0.993500            0.994625          0.992825         0.007201
2        1.081763      0.061377         0.000000        0.000000                8           10             mse       {'batch_size': 8, 'epochs': 10, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               46                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
6        1.127200      0.112237         0.000000        0.000000                8           20             mse       {'batch_size': 8, 'epochs': 20, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               37                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
10       1.424468      0.162032         0.000000        0.000000                8           40             mse       {'batch_size': 8, 'epochs': 40, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               47                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
14       1.606607      0.436564         0.000000        0.000000               16           10             mse      {'batch_size': 16, 'epochs': 10, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               42                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
18       1.454686      0.243464         0.000000        0.000000               16           20             mse      {'batch_size': 16, 'epochs': 20, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               38                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
22       1.673394      0.316922         0.000000        0.000000               16           40             mse      {'batch_size': 16, 'epochs': 40, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               45                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
26       1.618498      0.182669         0.000000        0.000000               32           10             mse      {'batch_size': 32, 'epochs': 10, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               39                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
30       1.801874      0.079060         0.000000        0.000000               32           20             mse      {'batch_size': 32, 'epochs': 20, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               41                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
34       1.746191      0.367471         0.000000        0.000000               32           40             mse      {'batch_size': 32, 'epochs': 40, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               48                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
38       1.570992      0.167083         0.000000        0.000000               64           10             mse      {'batch_size': 64, 'epochs': 10, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               40                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
42       1.584879      0.186288         0.000000        0.000000               64           20             mse      {'batch_size': 64, 'epochs': 20, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               44                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
46       1.371622      0.230977         0.000000        0.000000               64           40             mse      {'batch_size': 64, 'epochs': 40, 'optimizer': 'mse'}                NaN                NaN                NaN                NaN                NaN              NaN             NaN               43                 NaN                 NaN                 NaN                 NaN                 NaN               NaN              NaN
